archive,original_path,original_bytes,original_sha256,release_path,release_sha256,action,encoding
DE_c.zip,DE_c/DE_c_fixed/DE_fixed/DE_fixed/x64/Debug/main.obj,51020,9f60d5d38c73ebba9565aec3bba481b56a8e7950acace4d187946cdc2a2a3a71,,,excluded: generated build/simulator/IDE artifact or historical output,
DE_c.zip,DE_c/DE_c_fixed/DE_fixed/DE_fixed/x64/Debug/read_image.obj,59862,6eece5b8686a9789c54258470ed0f6d331d02af15d43deeca292d25344267da1,,,excluded: generated build/simulator/IDE artifact or historical output,
DE_c.zip,DE_c/DE_c_fixed/DE_fixed/DE_fixed/x64/Debug/RGB_to_YCC.obj,64276,e078ff6d16dcc70f8d1a61116a950d428e3334cce348a9681908bd725ec7b656,,,excluded: generated build/simulator/IDE artifact or historical output,
DE_c.zip,DE_c/DE_c_fixed/DE_fixed/DE_fixed/x64/Debug/rgb_to_ycc.obj.enc,62777,7063dd4b0a76ded2f97678845515d6c2f1ddf8cca0d5ab18d18c06cb985e1a33,,,excluded: generated build/simulator/IDE artifact or historical output,
DE_c.zip,DE_c/DE_c_fixed/DE_fixed/DE_fixed/x64/Debug/vc143.idb,429056,87c5e06e4d60df4dd83ba33d7531aa088ab065663f1dd4dc722bc5d29a30b95c,,,excluded: generated build/simulator/IDE artifact or historical output,
DE_c.zip,DE_c/DE_c_fixed/DE_fixed/DE_fixed/x64/Debug/vc143.pdb,110592,ac23b7167d6874ccc7396922e37dfea002d50fd7b0a36b021f652d46af7d0491,,,excluded: generated build/simulator/IDE artifact or historical output,
DE_c.zip,DE_c/DE_c_fixed/DE_fixed/DE_fixed.sln,1445,260a631a7efaba0caad3d324af362aad84b2b351043817d0ec69c0e510b70cb4,,,excluded: historical IDE project metadata; setup facts documented separately,
DE_c.zip,DE_c/DE_c_fixed/DE_fixed/x64/Debug/DE_fixed.exe,76800,173bdee70c61313806216121284544dc07a8c9eb82bfe78b4c08f08305630f5f,,,excluded: generated build/simulator/IDE artifact or historical output,
DE_c.zip,DE_c/DE_c_fixed/DE_fixed/x64/Debug/DE_fixed.pdb,1536000,1630eca61e5492bc7141191e9216e4c83b33f8f32cb58404deda0c7ffc3e9a7c,,,excluded: generated build/simulator/IDE artifact or historical output,
DE_c.zip,DE_c/DE_c_ver2/.vs/DE_c_ver2/FileContentIndex/4be9e61e-4564-4f2f-ad5b-6c429e3a95c2.vsidx,2413,9f8d3f38aefb50ab3b18064de7d45869e101aa95ec3a2b970585331373c335d7,,,excluded: generated build/simulator/IDE artifact or historical output,
